Timestamp,People,AC_Units,AC_Hours,Fans,Fan_Hours,Fridges,Area,KWh,Cost_Raw,Cost_Thousand_VND
10/05/2026,3,2,3,4,4,1,10,10,"10,00 ?",10.0
10/05/2026,5,4,4,4,3,2,10,15,"100,00 ?",100.0
10/05/2026,2,0,0,2,5,0,20,100,"100,00 ?",100.0
08/05/2026,2,1,8,2,4,0,3,34,"110,00 ?",110.0
08/05/2026,4,0,0,5,10,1,20,40,"150,00 ?",150.0
06/05/2026,5,2,3,1,4,1,12,120,"150,00 ?",150.0
07/05/2026,4,1,4,2,15,1,30,170,"170,00 ?",170.0
10/05/2026,2,1,0,1,15,0,4,45,"180,00 ?",180.0
10/05/2026,3,1,1,1,5,1,15,50,"200,00 ?",200.0
08/05/2026,2,1,1,1,3,1,23,200,"300,00 ?",300.0
08/05/2026,4,2,3,3,3,1,20,177,"400,00 ?",400.0
08/05/2026,3,2,1,1,4,2,19,200,"400,00 ?",400.0
08/05/2026,2,1,2,2,4,1,25,200,"500,00 ?",500.0
10/05/2026,4,2,5,3,3,1,25,200,"500,00 ?",500.0
08/05/2026,4,1,5,1,2,1,25,200,"500,00 ?",500.0
08/05/2026,1,1,1,2,4,4,25,200,"500,00 ?",500.0
10/05/2026,2,3,4,3,4,1,25,200,"500,00 ?",500.0
10/05/2026,1,1,1,2,2,3,25,200,"500,00 ?",500.0
08/05/2026,1,1,1,1,3,2,25,200,"500,00 ?",500.0
10/05/2026,4,1,3,2,3,2,25,200,"500,00 ?",500.0
08/05/2026,2,1,5,4,3,2,25,200,"500,00 ?",500.0
10/05/2026,4,1,4,2,4,2,25,200,"500,00 ?",500.0
08/05/2026,1,1,2,1,1,5,25,200,"500,00 ?",500.0
08/05/2026,4,3,5,4,5,1,25,200,"500,00 ?",500.0
10/05/2026,3,3,3,3,5,1,25,200,"500,00 ?",500.0
10/05/2026,2,1,3,1,5,1,15,100,"500,00 ?",500.0
06/05/2026,4,2,9,3,13,1,200,5,"500,00 ?",500.0
08/05/2026,5,1,3,5,5,1,25,200,"500,00 ?",500.0
08/05/2026,1,1,1,2,2,1,25,200,"500,00 ?",500.0
10/05/2026,5,1,1,5,5,1,25,200,"500,00 ?",500.0
08/05/2026,4,2,5,5,5,1,25,200,"500,00 ?",500.0
10/05/2026,3,2,3,4,4,1,10,10,"550,00 ?",550.0
06/05/2026,5,3,1,4,4,1,50,500,"700,00 ?",700.0
08/05/2026,4,2,5,4,5,1,60,180,"750,00 ?",750.0
10/05/2026,4,1,0,4,5,1,20,300,"1.000,00 ?",1000.0
06/05/2026,4,1,8,2,10,1,5,250,"1.000,00 ?",1000.0
10/05/2026,4,1,24,0,0,1,20,350,"1.000,00 ?",1000.0
10/05/2026,4,3,5,5,5,1,118,600,"2.000,00 ?",2000.0
06/05/2026,2,1,5,2,3,1,200,100,"5.000,00 ?",5000.0
06/05/2026,4,3,5,5,5,5,20,1,"2.000.000,00 ?",2000.0
